Sort name, Data order, Data size, Execution time (in milisecond), Comparisons
merge-sort, nearly sorted data, 100000, 11.001100, 3992784
quick-sort, nearly sorted data, 100000, 11.995500, 4282767
counting-sort, nearly sorted data, 100000, 2.026200, 600003
radix-sort, nearly sorted data, 100000, 7.015900, 1200067
flash-sort, nearly sorted data, 100000, 5.019300, 1128007
selection-sort, nearly sorted data, 300000, 92382.155700, 90000300001
insertion-sort, nearly sorted data, 300000, 1.015000, 1190354
bubble-sort, nearly sorted data, 300000, 12436.337500, 11472287788
shell-sort, nearly sorted data, 300000, 16.998200, 15449049
shaker-sort, nearly sorted data, 300000, 8.974600, 7799857
heap-sort, nearly sorted data, 300000, 69.848100, 21852098
merge-sort, nearly sorted data, 300000, 36.917200, 12668958
quick-sort, nearly sorted data, 300000, 38.940400, 17235880
counting-sort, nearly sorted data, 300000, 3.998800, 1800003
radix-sort, nearly sorted data, 300000, 23.935900, 4200080
flash-sort, nearly sorted data, 300000, 14.921400, 3384002
selection-sort, nearly sorted data, 500000, 257027.954300, 250000500001
insertion-sort, nearly sorted data, 500000, 2.027900, 1923538
bubble-sort, nearly sorted data, 500000, 23854.820900, 22097855728
shell-sort, nearly sorted data, 500000, 27.896700, 25672095
shaker-sort, nearly sorted data, 500000, 18.948000, 16999745
heap-sort, nearly sorted data, 500000, 116.696800, 37799226
merge-sort, nearly sorted data, 500000, 61.839400, 21662449
quick-sort, nearly sorted data, 500000, 71.806300, 35143286
counting-sort, nearly sorted data, 500000, 5.987000, 3000003
radix-sort, nearly sorted data, 500000, 37.897700, 7000080
flash-sort, nearly sorted data, 500000, 25.930000, 5639997
